æbəhəlimə:abohalima;æ:a,bə:bo,hə:ha,li:li,mə:ma;~æ~ə~ə~i~ə~
bɑɹoʊ:borrow;bɑ:bo,ɹoʊ:rrow;~ɑ~oʊ~
bɜɹst:burst;bɜ:bu,ɹst:rst;~ɜ~1,~
bɜɹtɹənd:bertrand;bɜ:be,ɹtɹə:rtra,nd:nd;~ɜ~ə~1,~
bɔɹz:bors;bɔ:bo,ɹz:rs;~ɔ~1,~
bɜɹθdeɪ:birthday;bɜ:bi,ɹθ:rth,deɪ:day;~ɜ~1,~eɪ~
bɜɹθ:birth;bɜ:bi,ɹθ:rth;~ɜ~1,~
bɛɹɪ:berry;bɛ:be,ɹɪ:rry;~ɛ~ɪ~
bɜɹɪ:beury;bɜ:beu,ɹɪ:ry;~ɜ~ɪ~
bɛɹɪ:bury;bɛ:bu,ɹɪ:ry;~ɛ~ɪ~
bɪɡɛst:biggest;bɪ:bi,ɡɛ:gge,st:st;~ɪ~ɛ~1,~
bɪɡəɹ:bigger;bɪ:bi,ɡə:gge,ɹ:r;~ɪ~ə~1,~
bɛɹɪəl:burial;bɛ:bu,ɹɪ:ri,ə:a,l:l;~ɛ~ɪ~ə~1,~
bɜɹɡləɹ:burglar;bɜ:bu,ɹɡlə:rgla,ɹ:r;~ɜ~ə~1,~
bɑɹɡɛn:bargain;bɑ:ba,ɹɡɛ:rgai,n:n;~ɑ~ɛ~1,~
bɛnzəʊdɪæzəpɪn:benzodiazepine;bɛ:be,nzəʊ:nzo,dɪ:di,æ:a,zə:ze,pɪ:pi,n:ne;~ɛ~əʊ~ɪ~æ~ə~ɪ~1,~
bɹæf:braff;bɹæ:bra,f:ff;~æ~1,~
bɹænd:brand;bɹæ:bra,nd:nd;~æ~1,~
bɹæntʃ:branch;bɹæ:bra,ntʃ:nch;~æ~1,~
bɹæs:brass;bɹæ:bra,s:ss;~æ~1,~
bɹæɡd:bragged;bɹæ:bra,ɡd:gged;~æ~1,~
bɹaɪb:bribe;bɹaɪ:bri,b:be;~aɪ~1,~
bɹaɪbəɹɪ:bribery;bɹaɪ:bri,bə:be,ɹɪ:ry;~aɪ~ə~ɪ~
bɹaʊn:brown;bɹaʊ:brow,n:n;~aʊ~1,~
bɹaɪt:bright;bɹaɪ:bri,t:ght;~aɪ~1,~
bɹaɪtn:brighten;bɹaɪ:bri,tn:ghten;~aɪ~1,~
bɹaɪtəlɪŋ:breitling;bɹaɪ:brei,tə:t,lɪ:li,ŋ:ng;~aɪ~ə~ɪ~1,~
bɹaʊzəɹz:browsers;bɹaʊ:brow,zə:se,ɹz:rs;~aʊ~ə~1,~
bɹeɪkθɹu:breakthrough;bɹeɪ:brea,k:k,θɹu:throu,_:gh;~eɪ~1,~u~
bɹeɪk:break;bɹeɪ:brea,k:k;~eɪ~1,~
bɹeɪks:brakes;bɹeɪ:bra,ks:kes;~eɪ~1,~
bɹeɪn:brain;bɹeɪ:brai,n:n;~eɪ~1,~
bɹeɪv:brave;bɹeɪ:bra,v:ve;~eɪ~1,~
bɹeɪvəɹɪ:bravery;bɹeɪ:bra,və:ve,ɹɪ:ry;~eɪ~ə~ɪ~
bɹid:breed;bɹi:bree,d:d;~i~1,~
bɹið:breathe;bɹi:brea,ð:the;~i~1,~
bɹudəɹ:bruder;bɹu:bru,də:de,ɹ:r;~u~ə~1,~
bɹɪsi:bresee;bɹɪ:bre,si:see;~ɪ~i~
bɔɪ:boy;bɔɪ:boy;~ɔɪ~
bɹɔdkæst:broadcast;bɹɔ:broa,d:d,kæ:ca,st:st;~ɔ~1,~æ~1,~
bɹɛd:bread;bɹɛ:brea,d:d;~ɛ~1,~
bɹɔd:broad;bɹɔ:broa,d:d;~ɔ~1,~
bɹɛdθ:breadth;bɹɛ:brea,dθ:dth;~ɛ~1,~
bɹɪdʒ:bridge;bɹɪ:bri,dʒ:dge;~ɪ~1,~
bɹɪk:brick;bɹɪ:bri,k:ck;~ɪ~1,~
bɹɛkfəst:breakfast;bɹɛ:brea,kfə:kfa,st:st;~ɛ~ə~1,~
bɔɪl:boil;bɔɪ:boi,l:l;~ɔɪ~1,~
bɹɔn:brawn;bɹɔ:braw,n:n;~ɔ~1,~
bɹɛsləʊ:breslow;bɹɛ:bre,sləʊ:slow;~ɛ~əʊ~
bɹɛst:breast;bɹɛ:brea,st:st;~ɛ~1,~
bɹɔt:brought;bɹɔ:brou,t:ght;~ɔ~2,~
bɹɪtɪʃ:british;bɹɪ:bri,tɪ:ti,ʃ:sh;~ɪ~ɪ~2,~
bɹʌðəɹ:brother;bɹʌ:bro,ðə:the,ɹ:r;~ʌ~ə~1,~
bɹɛθ:breath;bɹɛ:brea,θ:th;~ɛ~1,~
bɹɪŋ:bring;bɹɪ:bri,ŋ:ng;~ɪ~1,~
bɹʌʃ:brush;bɹʌ:bru,ʃ:sh;~ʌ~1,~
bɹɪɡədɪə:brigadeer;bɹɪ:bri,ɡə:ga,dɪ:dee,ə:r;~ɪ~ə~ɪ~ə~
bɹɔɪ:broy;bɹɔɪ:broy;~ɔɪ~
dæleɪ:dalai;dæ:da,leɪ:lai;~æ~eɪ~
dæmp:damp;dæ:da,mp:mp;~æ~1,~
dæmədʒ:damage;dæ:da,mə:ma,dʒ:ge;~æ~ə~1,~
dæns:dance;dæ:da,ns:nce;~æ~1,~
dætəm:datum;dæ:da,tə:tu,m:m;~æ~ə~1,~
dæɹɪn:daren;dæ:da,ɹɪ:re,n:n;~æ~ɪ~1,~
daɪvɜɹdʒd:diverged;daɪ:di,vɜ:ve,ɹdʒd:rged;~aɪ~ɜ~1,~
daɪɹɛktnəs:directness;daɪ:di,ɹɛ:re,kt:ct,nə:ne,s:ss;~aɪ~ɛ~1,~ə~1,~
daɪɹɛktəɹɪz:directories;daɪ:di,ɹɛ:re,ktə:cto,ɹɪ:rie,z:s;~aɪ~ɛ~ə~ɪ~2,~
daɪ:die;daɪ:die;~aɪ~
daɪd:died;daɪ:di,d:ed;~aɪ~1,~
daɪd:died;daɪ:die,d:d;~aɪ~1,~
daɪkəʊ:dyco;daɪ:dy,kəʊ:co;~aɪ~əʊ~
daɪmənd:diamond;daɪ:di,mə:amo,nd:nd;~aɪ~ə~1,~
daɪmənd:diamond;daɪ:dia,mə:mo,nd:nd;~aɪ~ə~1,~
daʊnsaɪd:downside;daʊ:dow,n:n,saɪ:si,d:de;~aʊ~1,~aɪ~1,~
daɪn:dine;daɪ:di,n:ne;~aɪ~1,~
daʊn:down;daʊ:dow,n:n;~aʊ~1,~
daɪnəɹz:dinars;daɪ:di,nə:na,ɹz:rs;~aɪ~ə~1,~
daɪoʊd:diode;daɪ:di,oʊ:o,d:de;~aɪ~oʊ~1,~
daʊt:doubt;daʊ:dou,t:bt;~aʊ~1,~
daɪv:dive;daɪ:di,v:ve;~aɪ~1,~
daɪəɹi:diary;daɪ:di,ə:a,ɹi:ry;~aɪ~ə~i~
daɪəɡnoʊz:diagnose;daɪ:di,ə:a,ɡnoʊ:gno,z:se;~aɪ~ə~oʊ~1,~
daɪəɡnoʊzd:diagnosed;daɪ:di,ə:a,ɡnoʊ:gno,zd:sed;~aɪ~ə~oʊ~1,~
daʊɡən:dougan;daʊ:dou,ɡə:ga,n:n;~aʊ~ə~1,~
daɪʌmɪtəɹ:diameter;daɪ:di,ʌ:a,mɪ:me,tə:te,ɹ:r;~aɪ~ʌ~ɪ~ə~1,~
deɪ:day;deɪ:day;~eɪ~
deɪlaɪt:daylight;deɪ:day,laɪ:li,t:ght;~eɪ~aɪ~1,~
deɪlɪ:daily;deɪ:dai,lɪ:ly;~eɪ~ɪ~
deɪmɪnt:demint;deɪ:de,mɪ:mi,nt:nt;~eɪ~ɪ~1,~
deɪndʒəɹ:danger;deɪ:da,ndʒə:nge,ɹ:r;~eɪ~ə~1,~
deɪndʒəɹəs:dangerous;deɪ:da,ndʒə:nge,ɹə:rou,s:s;~eɪ~ə~ə~1,~
deɪt:date;deɪ:da,t:te;~eɪ~2,~
deɪtə:data;deɪ:da,tə:ta;~eɪ~ə~
deɪvɪd:david;deɪ:da,vɪ:vi,d:d;~eɪ~ɪ~2,~
deɪz:days;deɪ:day,z:s;~eɪ~1,~
did:deed;di:dee,d:d;~i~1,~
dil:deal;di:dea,l:l;~i~1,~
dip:deep;di:dee,p:p;~i~1,~
dipn:deepen;di:dee,pn:pen;~i~1,~
difɔɹmeɪʃən:deformation;di:de,fɔ:fo,ɹmeɪ:rma,ʃə:tio,n:n;~i~ɔ~eɪ~ə~1,~
doʊnəɹz:donors;doʊ:do,nə:no,ɹz:rs;~oʊ~ə~1,~
doʊsədʒ:dosage;doʊ:do,sə:sa,dʒ:ge;~oʊ~ə~1,~
du:do;du:do;~u~
du:due;du:due;~u~
dus:doose;du:doo,s:se;~u~1,~
dutɪ:duty;du:du,tɪ:ty;~u~ɪ~
duəbl:doable;du:do,ə:a,bl:ble;~u~ə~1,~
duɪŋ:doing;du:do,ɪ:i,ŋ:ng;~u~ɪ~1,~
dwɛlɪŋ:dwelling;dwɛ:dwe,lɪ:lli,ŋ:ng;~ɛ~ɪ~1,~
dɪfaɪn:define;dɪ:de,faɪ:fi,n:ne;~ɪ~aɪ~1,~
dɪfit:defeat;dɪ:de,fi:fea,t:t;~ɪ~i~1,~
dɪfɛnd:defend;dɪ:de,fɛ:fe,nd:nd;~ɪ~ɛ~1,~
dɪfɛndənt:defendant;dɪ:de,fɛ:fe,ndə:nda,nt:nt;~ɪ~ɛ~ə~1,~
dɪfɛns:defense;dɪ:de,fɛ:fe,ns:nse;~ɪ~ɛ~1,~
dɪkæfəneɪt:decaffeinate;dɪ:de,kæ:ca,fə:ffei,neɪ:na,t:te;~ɪ~æ~ə~eɪ~1,~
dɪkeɪ:decay;dɪ:de,keɪ:cay;~ɪ~eɪ~
dɪklɛə:declare;dɪ:de,klɛ:cla,ə:re;~ɪ~ɛ~ə~
dɪkɹis:decrease;dɪ:de,kɹi:crea,s:se;~ɪ~i~1,~
dɪlaɪt:delight;dɪ:de,laɪ:li,t:ght;~ɪ~aɪ~1,~
dɪleɪ:delay;dɪ:de,leɪ:lay;~ɪ~eɪ~
dɪlɪnɪeɪts:delineates;dɪ:de,lɪ:li,nɪ:ne,eɪ:a,ts:tes;~ɪ~ɪ~ɪ~eɪ~1,~
dɛlɪvəɹ:deliver;dɛ:de,lɪ:li,və:ve,ɹ:r;~ɛ~ɪ~ə~1,~
dɪlɪvəɹɪ:delivery;dɪ:de,lɪ:li,və:ve,ɹɪ:ry;~ɪ~ɪ~ə~ɪ~
dɪlɪŋkwənts:delinquents;dɪ:de,lɪ:li,ŋkwə:nque,nts:nts;~ɪ~ɪ~ə~1,~
dɪmænd:demand;dɪ:de,mæ:ma,nd:nd;~ɪ~æ~1,~
dɪmɑkɹəsɪ:democracy;dɪ:de,mɑ:mo,kɹə:cra,sɪ:cy;~ɪ~ɑ~ə~ɪ~
dɪnaɪ:deny;dɪ:de,naɪ:ny;~ɪ~aɪ~
dɪpɪkts:depicts;dɪ:de,pɪ:pi,kts:cts;~ɪ~ɪ~1,~
dɪpɛnd:depend;dɪ:de,pɛ:pe,nd:nd;~ɪ~ɛ~1,~
dɪpɛndz:depends;dɪ:de,pɛ:pe,ndz:nds;~ɪ~ɛ~1,~
dɪpɛndəns:dependence;dɪ:de,pɛ:pe,ndə:nde,ns:nce;~ɪ~ɛ~ə~1,~
dɪpɛndənt:dependent;dɪ:de,pɛ:pe,ndə:nde,nt:nt;~ɪ~ɛ~ə~1,~
dɪpɑɹtmənt:department;dɪ:de,pɑ:pa,ɹtmə:rtme,nt:nt;~ɪ~ɑ~ə~2,~
dɪpɑpyəleɪʃən:depopulation;dɪ:de,pɑ:po,pyə:pu,leɪ:la,ʃə:tio,n:n;~ɪ~ɑ~ə~eɪ~ə~1,~
dɪpɹɛs:depress;dɪ:de,pɹɛ:pre,s:ss;~ɪ~ɛ~1,~
dɪpɹɛʃən:depression;dɪ:de,pɹɛ:pre,ʃə:ssio,n:n;~ɪ~ɛ~ə~1,~
dɪsætəsfaɪ:dissatisfy;dɪ:di,sæ:ssa,tə:ti,sfaɪ:sfy;~ɪ~æ~ə~aɪ~
dɪsaɪsɪv:decisive;dɪ:de,saɪ:ci,sɪ:si,v:ve;~ɪ~aɪ~ɪ~1,~
dɪseɪlɪneɪʃən:desalination;dɪ:de,seɪ:sa,lɪ:li,neɪ:na,ʃə:tio,n:n;~ɪ~eɪ~ɪ~eɪ~ə~1,~
dɪsit:deceit;dɪ:de,si:cei,t:t;~ɪ~i~1,~
dɪsiv:deceive;dɪ:de,si:cei,v:ve;~ɪ~i~1,~
dɪskəntɛnt:discontent;dɪ:di,skə:sco,ntɛ:nte,nt:nt;~ɪ~ə~ɛ~1,~
dɪskʌmfəɹt:discomfort;dɪ:di,skʌ:sco,mfə:mfo,ɹt:rt;~ɪ~ʌ~ə~1,~
dɪskʌs:discuss;dɪ:di,skʌ:scu,s:ss;~ɪ~ʌ~1,~
dɪskʌvəɹ:discover;dɪ:di,skʌ:sco,və:ve,ɹ:r;~ɪ~ʌ~ə~1,~
dɪskʌvəɹd:discovered;dɪ:di,skʌ:sco,və:ve,ɹd:red;~ɪ~ʌ~ə~1,~
dɪskʌvəɹɪ:discovery;dɪ:di,skʌ:sco,və:ve,ɹɪ:ry;~ɪ~ʌ~ə~ɪ~
dɪskɜɹɪdʒ:discourage;dɪ:di,skɜ:scou,ɹɪ:ra,dʒ:ge;~ɪ~ɜ~ɪ~1,~
dɪskɜɹɪdʒmənt:discouragement;dɪ:di,skɜ:scou,ɹɪ:ra,dʒmə:geme,nt:nt;~ɪ~ɜ~ɪ~ə~1,~
dɪskɹaɪb:describe;dɪ:de,skɹaɪ:scri,b:be;~ɪ~aɪ~1,~
dɪskɹaɪbd:described;dɪ:de,skɹaɪ:scri,bd:bed;~ɪ~aɪ~2,~
dɪskɹɪptɪv:descriptive;dɪ:de,skɹɪ:scri,ptɪ:pti,v:ve;~ɪ~ɪ~ɪ~1,~
dɪskɹɪpʃən:description;dɪ:de,skɹɪ:scri,pʃə:ptio,n:n;~ɪ~ɪ~ə~1,~
dɪsmɪs:dismiss;dɪ:di,smɪ:smi,s:ss;~ɪ~ɪ~1,~
dɪspaɪt:despite;dɪ:de,spaɪ:spi,t:te;~ɪ~aɪ~2,~
dɪspleɪ:display;dɪ:di,spleɪ:splay;~ɪ~eɪ~
dɪspyut:dispute;dɪ:di,spyu:spu,t:te;~ɪ~u~1,~
dɪspɛə:despair;dɪ:de,spɛ:spai,ə:r;~ɪ~ɛ~ə~
dɪstɪləɹz:distiller's;dɪ:di,stɪ:sti,lə:ller,ɹz:'s;~ɪ~ɪ~ə~1,~
dɪstɜɹb:disturb;dɪ:di,stɜ:stu,ɹb:rb;~ɪ~ɜ~1,~
dɪstɪŋɡwɪʃ:distinguish;dɪ:di,stɪ:sti,ŋɡwɪ:ngui,ʃ:sh;~ɪ~ɪ~ɪ~1,~
dɪstɹʌktɪv:destructive;dɪ:de,stɹʌ:stru,ktɪ:cti,v:ve;~ɪ~ʌ~ɪ~1,~
dɪstɹʌkʃən:destruction;dɪ:de,stɹʌ:stru,kʃə:ctio,n:n;~ɪ~ʌ~ə~1,~
dɪstɹɔɪ:destroy;dɪ:de,stɹɔɪ:stroy;~ɪ~ɔɪ~
dɪsɪnfɛkt:disinfect;dɪ:di,sɪ:si,nfɛ:nfe,kt:ct;~ɪ~ɪ~ɛ~1,~
dɪsəɡɹi:disagree;dɪ:di,sə:sa,ɡɹi:gree;~ɪ~ə~i~
dɪsɛmbəɹ:december;dɪ:de,sɛ:ce,mbə:mbe,ɹ:r;~ɪ~ɛ~ə~2,~
dɪsɛnd:descend;dɪ:de,sɛ:sce,nd:nd;~ɪ~ɛ~1,~
dɪsɛndənt:descendant;dɪ:de,sɛ:sce,ndə:nda,nt:nt;~ɪ~ɛ~ə~1,~
dɪsɛnt:descent;dɪ:de,sɛ:sce,nt:nt;~ɪ~ɛ~1,~
dɪsɪʒən:decision;dɪ:de,sɪ:ci,ʒə:sio,n:n;~ɪ~ɪ~ə~2,~
dɪsɡʌst:disgust;dɪ:di,sɡʌ:sgu,st:st;~ɪ~ʌ~1,~
dɪteɪl:detail;dɪ:de,teɪ:tai,l:l;~ɪ~eɪ~1,~
dɪteɪlz:details;dɪ:de,teɪ:tai,lz:ls;~ɪ~eɪ~2,~
dətɜɹmɪn:determine;də:de,tɜ:te,ɹmɪ:rmi,n:ne;~ə~ɜ~ɪ~1,~
dətɜɹməndlɪ:determinedly;də:de,tɜ:te,ɹmə:rmi,nd:ned,lɪ:ly;~ə~ɜ~ə~1,~ɪ~
dɪtɜɹmənd:determined;dɪ:de,tɜ:te,ɹmə:rmi,nd:ned;~ɪ~ɜ~ə~1,~
dɪtɜɹmənəbl:determinable;dɪ:de,tɜ:te,ɹmə:rmi,nə:na,bl:ble;~ɪ~ɜ~ə~ə~1,~
dɪtɜɹməneɪʃən:determination;dɪ:de,tɜ:te,ɹmə:rmi,neɪ:na,ʃə:tio,n:n;~ɪ~ɜ~ə~eɪ~ə~1,~
dɪvaɪd:divide;dɪ:di,vaɪ:vi,d:de;~ɪ~aɪ~1,~
dɪvaɪs:device;dɪ:de,vaɪ:vi,s:ce;~ɪ~aɪ~1,~
dɪvɛləp:develop;dɪ:de,vɛ:ve,lə:lo,p:p;~ɪ~ɛ~ə~1,~
dɪvɛləpmənt:development;dɪ:de,vɛ:ve,lə:lo,pmə:pme,nt:nt;~ɪ~ɛ~ə~ə~1,~
dɪvɛləpt:developed;dɪ:de,vɛ:ve,lə:lo,pt:ped;~ɪ~ɛ~ə~2,~
dɪvɛləpɪŋ:developing;dɪ:de,vɛ:ve,lə:lo,pɪ:pi,ŋ:ng;~ɪ~ɛ~ə~ɪ~1,~
dɪvɪʒən:division;dɪ:di,vɪ:vi,ʒə:sio,n:n;~ɪ~ɪ~ə~1,~
dɛwʊlf:dewolf;dɛ:de,wʊ:wo,lf:lf;~ɛ~ʊ~1,~
dɪzaɪn:design;dɪ:de,zaɪ:si,n:gn;~ɪ~aɪ~1,~
dɪzaɪnd:designed;dɪ:de,zaɪ:si,nd:gned;~ɪ~aɪ~2,~
dɪzaɪə:desire;dɪ:de,zaɪ:si,ə:re;~ɪ~aɪ~ə~
dɪzaɪɹəbl:desirable;dɪ:de,zaɪ:si,ɹə:ra,bl:ble;~ɪ~aɪ~ə~1,~
dɪziz:disease;dɪ:di,zi:sea,z:se;~ɪ~i~1,~
dɪzɜɹv:deserve;dɪ:de,zɜ:se,ɹv:rve;~ɪ~ɜ~1,~
dəɹɛkt:direct;də:di,ɹɛ:re,kt:ct;~ə~ɛ~1,~
dɪɹɛkt:direct;dɪ:di,ɹɛ:re,kt:ct;~ɪ~ɛ~1,~
dəɹɛktlɪ:directly;də:di,ɹɛ:re,ktlɪ:ctly;~ə~ɛ~ɪ~
dəɹɛktəɹ:director;də:di,ɹɛ:re,ktə:cto,ɹ:r;~ə~ɛ~ə~1,~
dɪɹɛktəɹ:director;dɪ:di,ɹɛ:re,ktə:cto,ɹ:r;~ɪ~ɛ~ə~2,~
dɪɹɛktəɹɪ:directory;dɪ:di,ɹɛ:re,ktə:cto,ɹɪ:ry;~ɪ~ɛ~ə~ɪ~
dɪɹɛkʃən:direction;dɪ:di,ɹɛ:re,kʃə:ctio,n:n;~ɪ~ɛ~ə~1,~
dɪɡɹi:degree;dɪ:de,ɡɹi:gree;~ɪ~i~
dɔnɪ:daughney;dɔ:dau,:gh,nɪ:ney;~ɔ~1,~ɪ~
dʌbl:double;dʌ:dou,bl:ble;~ʌ~1,~
dɛd:dead;dɛ:dea,d:d;~ɛ~1,~
dɪd:did;dɪ:di,d:d;~ɪ~1,~
dɪdnt:didn't;dɪ:di,dnt:dn't;~ɪ~1,~
dɪdʒətəl:digital;dɪ:di,dʒə:gi,tə:ta,l:l;~ɪ~ə~ə~1,~
dɛf:deaf;dɛ:dea,f:f;~ɛ~1,~
dɛfn:deafen;dɛ:dea,fn:fen;~ɛ~1,~
dɪfəkəlt:difficult;dɪ:di,fə:ffi,kə:cu,lt:lt;~ɪ~ə~ə~1,~
dɪfəkəltɪ:difficulty;dɪ:di,fə:ffi,kə:cu,ltɪ:lty;~ɪ~ə~ə~ɪ~
dɪfɪkʌltɪz:difficulties;dɪ:di,fɪ:ffi,kʌ:cu,ltɪ:ltie,z:s;~ɪ~ɪ~ʌ~ɪ~1,~
dɪfəɹɛns:difference;dɪ:di,fə:ffe,ɹɛ:re,ns:nce;~ɪ~ə~ɛ~1,~
dɪfəɹɛnt:different;dɪ:di,fə:ffe,ɹɛ:re,nt:nt;~ɪ~ə~ɛ~1,~
dʌk:duck;dʌ:du,k:ck;~ʌ~1,~
dɑktəɹ:doctor;dɑ:do,ktə:cto,ɹ:r;~ɑ~ə~1,~
dɑkyəmɛnt:document;dɑ:do,kyə:cu,mɛ:me,nt:nt;~ɑ~ə~ɛ~1,~
dɑkyəmɛnəd:documented;dɑ:do,kyə:cu,mɛ:me,nə:nte,d:d;~ɑ~ə~ɛ~ə~1,~
dɛkəɹeɪt:decorate;dɛ:de,kə:co,ɹeɪ:ra,t:te;~ɛ~ə~eɪ~1,~
dɪkʃənɛɹɪ:dictionary;dɪ:di,kʃə:ctio,nɛ:na,ɹɪ:ry;~ɪ~ə~ɛ~ɪ~
dʌl:dull;dʌ:du,l:ll;~ʌ~1,~
dɪlɡ:dilg;dɪ:di,lɡ:lg;~ɪ~1,~
dɛləkɛt:delicate;dɛ:de,lə:li,kɛ:ca,t:te;~ɛ~ə~ɛ~1,~
dɑləɹ:dollar;dɑ:do,lə:lla,ɹ:r;~ɑ~ə~1,~
dɔləɹz:dollar's;dɔ:do,lə:lla,ɹz:r's;~ɔ~ə~1,~
dɑləɹz:dollars;dɑ:do,lə:lla,ɹz:rs;~ɑ~ə~1,~
dʌn:done;dʌ:do,n:ne;~ʌ~1,~
dɔnt:don't;dɔ:do,nt:n't;~ɔ~1,~
dɪnəɹ:dinner;dɪ:di,nə:nne,ɹ:r;~ɪ~ə~1,~
dɪp:dip;dɪ:di,p:p;~ɪ~1,~
dɛpyutɪz:deputies;dɛ:de,pyu:pu,tɪ:tie,z:s;~ɛ~u~ɪ~1,~
dɛpθ:depth;dɛ:de,pθ:pth;~ɛ~1,~
dɛsk:desk;dɛ:de,sk:sk;~ɛ~1,~
dɑst:dost;dɑ:do,st:st;~ɑ~1,~
dʌst:dust;dʌ:du,st:st;~ʌ~1,~
dɪstəns:distance;dɪ:di,stə:sta,ns:nce;~ɪ~ə~1,~
dɪstənt:distant;dɪ:di,stə:sta,nt:nt;~ɪ~ə~1,~
dɪstɹɪkt:district;dɪ:di,stɹɪ:stri,kt:ct;~ɪ~ɪ~2,~
dɛsəməl:decimal;dɛ:de,sə:ci,mə:ma,l:l;~ɛ~ə~ə~1,~
dɪsəplən:discipline;dɪ:di,sə:sci,plə:pli,n:ne;~ɪ~ə~ə~1,~
dɛt:debt;dɛ:de,t:bt;~ɛ~1,~
dɑt:dot;dɑ:do,t:t;~ɑ~1,~
dɪtʃ:ditch;dɪ:di,tʃ:tch;~ɪ~1,~
dɔtəɹ:daughter;dɔ:dau,tə:ghte,ɹ:r;~ɔ~ə~1,~
dʌtəɹ:dutter;dʌ:du,tə:tte,ɹ:r;~ʌ~ə~1,~
dɛvəl:devil;dɛ:de,və:vi,l:l;~ɛ~ə~1,~
dɛvɪnɪ:deveney;dɛ:de,vɪ:ve,nɪ:ney;~ɛ~ɪ~ɪ~
dʌz:does;dʌ:doe,z:s;~ʌ~1,~
dʌzn:dozen;dʌ:do,zn:zen;~ʌ~1,~
dʌznt:doesn't;dʌ:doe,znt:sn't;~ʌ~1,~
dɛzəɹt:desert;dɛ:de,zə:se,ɹt:rt;~ɛ~ə~1,~
dɔɹweɪ:doorway;dɔ:doo,ɹ:r,weɪ:way;~ɔ~1,~eɪ~
dɛθ:death;dɛ:dea,θ:th;~ɛ~1,~
dɪɡ:dig;dɪ:di,ɡ:g;~ɪ~1,~
dɪʃ:dish;dɪ:di,ʃ:sh;~ɪ~1,~
dɔɡ:dog;dɔ:do,ɡ:g;~ɔ~1,~
dɔɹ:door;dɔ:doo,ɹ:r;~ɔ~1,~
dʌɡ:dug;dʌ:du,ɡ:g;~ʌ~1,~
dɛə:dare;dɛ:da,ə:re;~ɛ~ə~
dɪə:dear;dɪ:dea,ə:r;~ɪ~ə~
dɪə:deer;dɪ:dee,ə:r;~ɪ~ə~
dɜɹfəlɪŋəɹ:derflinger;dɜ:de,ɹfə:rf,lɪ:li,ŋə:nge,ɹ:r;~ɜ~ə~ɪ~ə~1,~
dɑɹk:dark;dɑ:da,ɹk:rk;~ɑ~1,~
dɑɹkn:darken;dɑ:da,ɹkn:rken;~ɑ~1,~
dɑŋkɪ:donkey;dɑ:do,ŋkɪ:nkey;~ɑ~ɪ~
dɜɹt:dirt;dɜ:di,ɹt:rt;~ɜ~1,~
dɜɹtɪ:dirty;dɜ:di,ɹtɪ:rty;~ɜ~ɪ~
dɑɹtəɹ:darter;dɑ:da,ɹtə:rte,ɹ:r;~ɑ~ə~1,~
dɛʃɔ:deshaw;dɛ:de,ʃɔ:shaw;~ɛ~ɔ~
dɛɹɪbɛɹɪ:derryberry;dɛ:de,ɹɪ:rry,bɛ:be,ɹɪ:rry;~ɛ~ɪ~ɛ~ɪ~
dɔɹɪs:doris;dɔ:do,ɹɪ:ri,s:s;~ɔ~ɪ~1,~
dɛɹɪŋ:daring;dɛ:da,ɹɪ:ri,ŋ:ng;~ɛ~ɪ~1,~
dʊɹɪŋ:during;dʊ:du,ɹɪ:ri,ŋ:ng;~ʊ~ɪ~1,~
dɛkləɹeɪʃən:declaration;dɛ:de,klə:cla,ɹeɪ:ra,ʃə:tio,n:n;~ɛ~ə~eɪ~ə~1,~
dɛkəɹeɪʃən:decoration;dɛ:de,kə:co,ɹeɪ:ra,ʃə:tio,n:n;~ɛ~ə~eɪ~ə~1,~
dɪskəntɛntɪdlɪ:discontentedly;dɪ:di,s:s,kə:co,ntɛ:nte,ntɪ:nte,dlɪ:dly;~ɪ~1,~ə~ɛ~ɪ~ɪ~
dɪskəntɪnyueɪʃən:discontinuation;dɪ:di,s:s,kə:co,ntɪ:nti,nyu:nu,eɪ:a,ʃə:tio,n:n;~ɪ~1,~ə~ɪ~u~eɪ~ə~1,~
dɪsədvæntɪdʒd:disadvantaged;dɪ:di,s:s,ə:a,dvæ:dva,ntɪ:nta,dʒd:ged;~ɪ~1,~ə~æ~ɪ~1,~
dɪsɹɪspɛkt:disrespect;dɪ:di,s:s,ɹɪ:re,spɛ:spe,kt:ct;~ɪ~1,~ɪ~ɛ~1,~
dɪsɹɪɡɑɹd:disregard;dɪ:di,s:s,ɹɪ:re,ɡɑ:ga,ɹd:rd;~ɪ~1,~ɪ~ɑ~1,~
dɪsætɪsfækʃən:dissatisfaction;dɪ:di,sæ:ssa,tɪ:ti,sfæ:sfa,kʃə:ctio,n:n;~ɪ~æ~ɪ~æ~ə~1,~
dɪsaɪd:decide;dɪ:de,saɪ:ci,d:de;~ɪ~aɪ~1,~
dɪsaɪdɪd:decided;dɪ:de,saɪ:ci,dɪ:de,d:d;~ɪ~aɪ~ɪ~2,~
dɪskʌʃən:discussion;dɪ:di,skʌ:scu,ʃə:ssio,n:n;~ɪ~ʌ~ə~1,~
dɪsɪplɪnɛɹɪənz:disciplinarians;dɪ:di,sɪ:sci,plɪ:pli,nɛ:na,ɹɪ:ri,ə:a,nz:ns;~ɪ~ɪ~ɪ~ɛ~ɪ~ə~1,~
dɪsəpɪə:disappear;dɪ:di,sə:sa,pɪ:ppea,ə:r;~ɪ~ə~ɪ~ə~
