æbəhəlimə:abohalima;:,æb:ab,əh:oh,əl:al,im:im,ə:a;~~æ~ə~ə~i~ə~
bɹaɪbəɹɪ:bribery;bɹ:br,aɪb:ib,əɹ:er,ɪ:y;~~aɪ~ə~ɪ~
bɹaʊn:brown;bɹ:br,aʊn:own;~~aʊ~
bɹaɪt:bright;bɹ:br,aɪt:ight;~~aɪ~
bɹaɪtn:brighten;bɹ:br,aɪtn:ighten;~~aɪ~
bɹaɪtəlɪŋ:breitling;bɹ:br,aɪt:eit,əl:l,ɪŋ:ing;~~aɪ~ə~ɪ~
bɹaʊzəɹz:browsers;bɹ:br,aʊz:ows,əɹz:ers;~~aʊ~ə~
bɹeɪkθɹu:breakthrough;bɹ:br,eɪk:eak,θɹ:thr,u:ough;~~eɪ~~u~
bɹeɪk:break;bɹ:br,eɪk:eak;~~eɪ~
bɹeɪks:brakes;bɹ:br,eɪks:akes;~~eɪ~
bɹeɪn:brain;bɹ:br,eɪn:ain;~~eɪ~
bɹeɪv:brave;bɹ:br,eɪv:ave;~~eɪ~
bɹeɪvəɹɪ:bravery;bɹ:br,eɪv:av,əɹ:er,ɪ:y;~~eɪ~ə~ɪ~
bɹid:breed;bɹ:br,id:eed;~~i~
bɹið:breathe;bɹ:br,ið:eathe;~~i~
bɹudəɹ:bruder;bɹ:br,ud:ud,əɹ:er;~~u~ə~
bɹɪsi:bresee;bɹ:br,ɪs:es,i:ee;~~ɪ~i~
bɔɪ:boy;b:b,ɔɪ:oy;~~ɔɪ~
bɹɔdkæst:broadcast;bɹ:br,ɔd:oad,k:c,æst:ast;~~ɔ~~æ~
bɹɛd:bread;bɹ:br,ɛd:ead;~~ɛ~
bɹɔd:broad;bɹ:br,ɔd:oad;~~ɔ~
bɹɛdθ:breadth;bɹ:br,ɛdθ:eadth;~~ɛ~
bɹɪdʒ:bridge;bɹ:br,ɪdʒ:idge;~~ɪ~
bɹɪk:brick;bɹ:br,ɪk:ick;~~ɪ~
bɹɛkfəst:breakfast;bɹ:br,ɛkf:eakf,əst:ast;~~ɛ~ə~
bɔɪl:boil;b:b,ɔɪl:oil;~~ɔɪ~
bɹɔn:brawn;bɹ:br,ɔn:awn;~~ɔ~
bɹɛsləʊ:breslow;bɹ:br,ɛsl:esl,əʊ:ow;~~ɛ~əʊ~
bɹɛst:breast;bɹ:br,ɛst:east;~~ɛ~
bɹɔt:brought;bɹ:br,ɔt:ought;~~ɔ~
bɹɪtɪʃ:british;bɹ:br,ɪt:it,ɪʃ:ish;~~ɪ~ɪ~
bɹʌðəɹ:brother;bɹ:br,ʌð:oth,əɹ:er;~~ʌ~ə~
bɹɛθ:breath;bɹ:br,ɛθ:eath;~~ɛ~
bɹɪŋ:bring;bɹ:br,ɪŋ:ing;~~ɪ~
bɹʌʃ:brush;bɹ:br,ʌʃ:ush;~~ʌ~
bɹɪɡədɪə:brigadeer;bɹ:br,ɪɡ:ig,əd:ad,ɪ:eer;~~ɪ~ə~ɪ~ə~
bɹɔɪ:broy;bɹ:br,ɔɪ:oy;~~ɔɪ~
dæleɪ:dalai;d:d,æl:al,eɪ:ai;~~æ~eɪ~
dæmp:damp;d:d,æmp:amp;~~æ~
dæmədʒ:damage;d:d,æm:am,ədʒ:age;~~æ~ə~
dæns:dance;d:d,æns:ance;~~æ~
dætəm:datum;d:d,æt:at,əm:um;~~æ~ə~
dæɹɪn:daren;d:d,æɹ:a,ɪn:ren;~~æ~ɪ~
daɪvɜɹdʒd:diverged;d:d,aɪv:iv,ɜɹdʒd:erged;~~aɪ~ɜ~
daɪɹɛktnəs:directness;d:d,aɪɹ:i,ɛkt:rect,n:n,əs:ess;~~aɪ~ɛ~~ə~
daɪɹɛktəɹɪz:directories;d:d,aɪɹ:i,ɛkt:rect,əɹ:or,ɪz:ies;~~aɪ~ɛ~ə~ɪ~
daɪ:die;d:d,aɪ:ie;~~aɪ~
daɪd:died;d:d,aɪd:ied;~~aɪ~
daɪd:died;d:d,aɪd:ied;~~aɪ~
daɪkəʊ:dyco;d:d,aɪk:yc,əʊ:o;~~aɪ~əʊ~
daɪmənd:diamond;d:d,aɪm:iam,ənd:ond;~~aɪ~ə~
daɪmənd:diamond;d:d,aɪm:iam,ənd:ond;~~aɪ~ə~
daʊnsaɪd:downside;d:d,aʊn:own,s:s,aɪd:ide;~~aʊ~~aɪ~
daɪn:dine;d:d,aɪn:ine;~~aɪ~
daʊn:down;d:d,aʊn:own;~~aʊ~
daɪnəɹz:dinars;d:d,aɪn:in,əɹz:ars;~~aɪ~ə~
daɪoʊd:diode;d:d,aɪ:i,oʊd:ode;~~aɪ~oʊ~
daʊt:doubt;d:d,aʊt:oubt;~~aʊ~
daɪv:dive;d:d,aɪv:ive;~~aɪ~
daɪəɹi:diary;d:d,aɪ:i,əɹ:ar,i:y;~~aɪ~ə~i~
daɪəɡnoʊz:diagnose;d:d,aɪ:i,əɡn:agn,oʊz:ose;~~aɪ~ə~oʊ~
daɪəɡnoʊzd:diagnosed;d:d,aɪ:i,əɡn:agn,oʊzd:osed;~~aɪ~ə~oʊ~
daʊɡən:dougan;d:d,aʊɡ:oug,ən:an;~~aʊ~ə~
daɪʌmɪtəɹ:diameter;d:d,aɪ:i,ʌm:am,ɪt:et,əɹ:er;~~aɪ~ʌ~ɪ~ə~
deɪ:day;d:d,eɪ:ay;~~eɪ~
deɪlaɪt:daylight;d:d,eɪl:ayl,aɪt:ight;~~eɪ~aɪ~
deɪlɪ:daily;d:d,eɪl:ail,ɪ:y;~~eɪ~ɪ~
deɪmɪnt:demint;d:d,eɪm:em,ɪnt:int;~~eɪ~ɪ~
deɪndʒəɹ:danger;d:d,eɪndʒ:ang,əɹ:er;~~eɪ~ə~
deɪndʒəɹəs:dangerous;d:d,eɪndʒ:ang,əɹ:er,əs:ous;~~eɪ~ə~ə~
deɪt:date;d:d,eɪt:ate;~~eɪ~
deɪtə:data;d:d,eɪt:at,ə:a;~~eɪ~ə~
deɪvɪd:david;d:d,eɪv:av,ɪd:id;~~eɪ~ɪ~
deɪz:days;d:d,eɪz:ays;~~eɪ~
did:deed;d:d,id:eed;~~i~
dil:deal;d:d,il:eal;~~i~
dip:deep;d:d,ip:eep;~~i~
dipn:deepen;d:d,ipn:eepen;~~i~
difɔɹmeɪʃən:deformation;d:d,if:ef,ɔɹm:orm,eɪʃ:at,ən:ion;~~i~ɔ~eɪ~ə~
doʊnəɹz:donors;d:d,oʊn:on,əɹz:ors;~~oʊ~ə~
doʊsədʒ:dosage;d:d,oʊs:os,ədʒ:age;~~oʊ~ə~
du:do;d:d,u:o;~~u~
du:due;d:d,u:ue;~~u~
dus:doose;d:d,us:oose;~~u~
dutɪ:duty;d:d,ut:ut,ɪ:y;~~u~ɪ~
duəbl:doable;d:d,u:o,əbl:able;~~u~ə~
duɪŋ:doing;d:d,u:o,ɪŋ:ing;~~u~ɪ~
dwɛlɪŋ:dwelling;dw:dw,ɛl:ell,ɪŋ:ing;~~ɛ~ɪ~
dɪfaɪn:define;d:d,ɪf:ef,aɪn:ine;~~ɪ~aɪ~
dɪfit:defeat;d:d,ɪf:ef,it:eat;~~ɪ~i~
dɪfɛnd:defend;d:d,ɪf:ef,ɛnd:end;~~ɪ~ɛ~
dɪfɛndənt:defendant;d:d,ɪf:ef,ɛnd:end,ənt:ant;~~ɪ~ɛ~ə~
dɪfɛns:defense;d:d,ɪf:ef,ɛns:ense;~~ɪ~ɛ~
dɪkæfəneɪt:decaffeinate;d:d,ɪk:ec,æf:aff,ən:ein,eɪt:ate;~~ɪ~æ~ə~eɪ~
dɪkeɪ:decay;d:d,ɪk:ec,eɪ:ay;~~ɪ~eɪ~
dɪklɛə:declare;d:d,ɪkl:ecl,ɛ:a,ə:re;~~ɪ~ɛ~ə~
dɪkɹis:decrease;d:d,ɪkɹ:ecr,is:ease;~~ɪ~i~
dɪlaɪt:delight;d:d,ɪl:el,aɪt:ight;~~ɪ~aɪ~
dɪleɪ:delay;d:d,ɪl:el,eɪ:ay;~~ɪ~eɪ~
dɪlɪnɪeɪts:delineates;d:d,ɪl:el,ɪn:in,ɪ:e,eɪts:ates;~~ɪ~ɪ~ɪ~eɪ~
dɛlɪvəɹ:deliver;d:d,ɛl:el,ɪv:iv,əɹ:er;~~ɛ~ɪ~ə~
dɪlɪvəɹɪ:delivery;d:d,ɪl:el,ɪv:iv,əɹ:er,ɪ:y;~~ɪ~ɪ~ə~ɪ~
dɪlɪŋkwənts:delinquents;d:d,ɪl:el,ɪŋkw:inqu,ənts:ents;~~ɪ~ɪ~ə~
dɪmænd:demand;d:d,ɪm:em,ænd:and;~~ɪ~æ~
dɪmɑkɹəsɪ:democracy;d:d,ɪm:em,ɑkɹ:ocr,əs:ac,ɪ:y;~~ɪ~ɑ~ə~ɪ~
dɪnaɪ:deny;d:d,ɪn:en,aɪ:y;~~ɪ~aɪ~
dɪpɪkts:depicts;d:d,ɪp:ep,ɪkts:icts;~~ɪ~ɪ~
dɪpɛnd:depend;d:d,ɪp:ep,ɛnd:end;~~ɪ~ɛ~
dɪpɛndz:depends;d:d,ɪp:ep,ɛndz:ends;~~ɪ~ɛ~
dɪpɛndəns:dependence;d:d,ɪp:ep,ɛnd:end,əns:ence;~~ɪ~ɛ~ə~
dɪpɛndənt:dependent;d:d,ɪp:ep,ɛnd:end,ənt:ent;~~ɪ~ɛ~ə~
dɪpɑɹtmənt:department;d:d,ɪp:ep,ɑɹtm:artm,ənt:ent;~~ɪ~ɑ~ə~
dɪpɑpjəleɪʃən:depopulation;d:d,ɪp:ep,ɑpj:op,əl:ul,eɪʃ:at,ən:ion;~~ɪ~ɑ~ə~eɪ~ə~
dɪpɹɛs:depress;d:d,ɪpɹ:epr,ɛs:ess;~~ɪ~ɛ~
dɪpɹɛʃən:depression;d:d,ɪpɹ:epr,ɛʃ:ess,ən:ion;~~ɪ~ɛ~ə~
dɪsætəsfaɪ:dissatisfy;d:d,ɪs:iss,æt:at,əsf:isf,aɪ:y;~~ɪ~æ~ə~aɪ~
dɪsaɪsɪv:decisive;d:d,ɪs:ec,aɪs:is,ɪv:ive;~~ɪ~aɪ~ɪ~
dɪseɪlɪneɪʃən:desalination;d:d,ɪs:es,eɪl:al,ɪn:in,eɪʃ:at,ən:ion;~~ɪ~eɪ~ɪ~eɪ~ə~
dɪsit:deceit;d:d,ɪs:ec,it:eit;~~ɪ~i~
dɪsiv:deceive;d:d,ɪs:ec,iv:eive;~~ɪ~i~
dɪskəntɛnt:discontent;d:d,ɪsk:isc,ənt:ont,ɛnt:ent;~~ɪ~ə~ɛ~
dɪskʌmfəɹt:discomfort;d:d,ɪsk:isc,ʌmf:omf,əɹt:ort;~~ɪ~ʌ~ə~
dɪskʌs:discuss;d:d,ɪsk:isc,ʌs:uss;~~ɪ~ʌ~
dɪskʌvəɹ:discover;d:d,ɪsk:isc,ʌv:ov,əɹ:er;~~ɪ~ʌ~ə~
dɪskʌvəɹd:discovered;d:d,ɪsk:isc,ʌv:ov,əɹd:ered;~~ɪ~ʌ~ə~
dɪskʌvəɹɪ:discovery;d:d,ɪsk:isc,ʌv:ov,əɹ:er,ɪ:y;~~ɪ~ʌ~ə~ɪ~
dɪskɜɹɪdʒ:discourage;d:d,ɪsk:isc,ɜɹ:ou,ɪdʒ:rage;~~ɪ~ɜ~ɪ~
dɪskɜɹɪdʒmənt:discouragement;d:d,ɪsk:isc,ɜɹ:ou,ɪdʒm:ragem,ənt:ent;~~ɪ~ɜ~ɪ~ə~
dɪskɹaɪb:describe;d:d,ɪskɹ:escr,aɪb:ibe;~~ɪ~aɪ~
dɪskɹaɪbd:described;d:d,ɪskɹ:escr,aɪbd:ibed;~~ɪ~aɪ~
dɪskɹɪptɪv:descriptive;d:d,ɪskɹ:escr,ɪpt:ipt,ɪv:ive;~~ɪ~ɪ~ɪ~
dɪskɹɪpʃən:description;d:d,ɪskɹ:escr,ɪpʃ:ipt,ən:ion;~~ɪ~ɪ~ə~
dɪsmɪs:dismiss;d:d,ɪsm:ism,ɪs:iss;~~ɪ~ɪ~
dɪspaɪt:despite;d:d,ɪsp:esp,aɪt:ite;~~ɪ~aɪ~
dɪspleɪ:display;d:d,ɪspl:ispl,eɪ:ay;~~ɪ~eɪ~
dɪspjut:dispute;d:d,ɪspj:isp,ut:ute;~~ɪ~u~
dɪspɛə:despair;d:d,ɪsp:esp,ɛ:ai,ə:r;~~ɪ~ɛ~ə~
dɪstɪləɹz:distiller's;d:d,ɪst:ist,ɪl:ill,əɹz:er's;~~ɪ~ɪ~ə~
dɪstɜɹb:disturb;d:d,ɪst:ist,ɜɹb:urb;~~ɪ~ɜ~
dɪstɪŋɡwɪʃ:distinguish;d:d,ɪst:ist,ɪŋɡw:ingu,ɪʃ:ish;~~ɪ~ɪ~ɪ~
dɪstɹʌktɪv:destructive;d:d,ɪstɹ:estr,ʌkt:uct,ɪv:ive;~~ɪ~ʌ~ɪ~
dɪstɹʌkʃən:destruction;d:d,ɪstɹ:estr,ʌkʃ:uct,ən:ion;~~ɪ~ʌ~ə~
dɪstɹɔɪ:destroy;d:d,ɪstɹ:estr,ɔɪ:oy;~~ɪ~ɔɪ~
dɪsɪnfɛkt:disinfect;d:d,ɪs:is,ɪnf:inf,ɛkt:ect;~~ɪ~ɪ~ɛ~
dɪsəɡɹi:disagree;d:d,ɪs:is,əɡɹ:agr,i:ee;~~ɪ~ə~i~
dɪsɛmbəɹ:december;d:d,ɪs:ec,ɛmb:emb,əɹ:er;~~ɪ~ɛ~ə~
dɪsɛnd:descend;d:d,ɪs:esc,ɛnd:end;~~ɪ~ɛ~
dɪsɛndənt:descendant;d:d,ɪs:esc,ɛnd:end,ənt:ant;~~ɪ~ɛ~ə~
dɪsɛnt:descent;d:d,ɪs:esc,ɛnt:ent;~~ɪ~ɛ~
dɪsɪʒən:decision;d:d,ɪs:ec,ɪʒ:is,ən:ion;~~ɪ~ɪ~ə~
dɪsɡʌst:disgust;d:d,ɪsɡ:isg,ʌst:ust;~~ɪ~ʌ~
dɪteɪl:detail;d:d,ɪt:et,eɪl:ail;~~ɪ~eɪ~
dɪteɪlz:details;d:d,ɪt:et,eɪlz:ails;~~ɪ~eɪ~
dətɜɹmɪn:determine;d:d,ət:et,ɜɹm:erm,ɪn:ine;~~ə~ɜ~ɪ~
dətɜɹməndlɪ:determinedly;d:d,ət:et,ɜɹm:erm,ənd:ined,l:l,ɪ:y;~~ə~ɜ~ə~~ɪ~
dɪtɜɹmənd:determined;d:d,ɪt:et,ɜɹm:erm,ənd:ined;~~ɪ~ɜ~ə~
dɪtɜɹmənəbl:determinable;d:d,ɪt:et,ɜɹm:erm,ən:in,əbl:able;~~ɪ~ɜ~ə~ə~
dɪtɜɹməneɪʃən:determination;d:d,ɪt:et,ɜɹm:erm,ən:in,eɪʃ:at,ən:ion;~~ɪ~ɜ~ə~eɪ~ə~
dɪvaɪd:divide;d:d,ɪv:iv,aɪd:ide;~~ɪ~aɪ~
dɪvaɪs:device;d:d,ɪv:ev,aɪs:ice;~~ɪ~aɪ~
dɪvɛləp:develop;d:d,ɪv:ev,ɛl:el,əp:op;~~ɪ~ɛ~ə~
dɪvɛləpmənt:development;d:d,ɪv:ev,ɛl:el,əpm:opm,ənt:ent;~~ɪ~ɛ~ə~ə~
dɪvɛləpt:developed;d:d,ɪv:ev,ɛl:el,əpt:oped;~~ɪ~ɛ~ə~
dɪvɛləpɪŋ:developing;d:d,ɪv:ev,ɛl:el,əp:op,ɪŋ:ing;~~ɪ~ɛ~ə~ɪ~
dɪvɪʒən:division;d:d,ɪv:iv,ɪʒ:is,ən:ion;~~ɪ~ɪ~ə~
dɛwʊlf:dewolf;d:d,ɛw:ew,ʊlf:olf;~~ɛ~ʊ~
dɪzaɪn:design;d:d,ɪz:es,aɪn:ign;~~ɪ~aɪ~
dɪzaɪnd:designed;d:d,ɪz:es,aɪnd:igned;~~ɪ~aɪ~
dɪzaɪə:desire;d:d,ɪz:es,aɪ:i,ə:re;~~ɪ~aɪ~ə~
dɪzaɪɹəbl:desirable;d:d,ɪz:es,aɪɹ:ir,əbl:able;~~ɪ~aɪ~ə~
dɪziz:disease;d:d,ɪz:is,iz:ease;~~ɪ~i~
dɪzɜɹv:deserve;d:d,ɪz:es,ɜɹv:erve;~~ɪ~ɜ~
dəɹɛkt:direct;d:d,əɹ:i,ɛkt:rect;~~ə~ɛ~
dɪɹɛkt:direct;d:d,ɪɹ:i,ɛkt:rect;~~ɪ~ɛ~
dəɹɛktlɪ:directly;d:d,əɹ:i,ɛktl:rectl,ɪ:y;~~ə~ɛ~ɪ~
dəɹɛktəɹ:director;d:d,əɹ:i,ɛkt:rect,əɹ:or;~~ə~ɛ~ə~
dɪɹɛktəɹ:director;d:d,ɪɹ:i,ɛkt:rect,əɹ:or;~~ɪ~ɛ~ə~
dɪɹɛktəɹɪ:directory;d:d,ɪɹ:i,ɛkt:rect,əɹ:or,ɪ:y;~~ɪ~ɛ~ə~ɪ~
dɪɹɛkʃən:direction;d:d,ɪɹ:i,ɛkʃ:rect,ən:ion;~~ɪ~ɛ~ə~
dɪɡɹi:degree;d:d,ɪɡɹ:egr,i:ee;~~ɪ~i~
dɔnɪ:daughney;d:d,ɔ:augh,n:n,ɪ:ey;~~ɔ~~ɪ~
dʌbl:double;d:d,ʌbl:ouble;~~ʌ~
dɛd:dead;d:d,ɛd:ead;~~ɛ~
dɪd:did;d:d,ɪd:id;~~ɪ~
dɪdnt:didn't;d:d,ɪdnt:idn't;~~ɪ~
dɪdʒətəl:digital;d:d,ɪdʒ:ig,ət:it,əl:al;~~ɪ~ə~ə~
dɛf:deaf;d:d,ɛf:eaf;~~ɛ~
dɛfn:deafen;d:d,ɛfn:eafen;~~ɛ~
dɪfəkəlt:difficult;d:d,ɪf:iff,ək:ic,əlt:ult;~~ɪ~ə~ə~
dɪfəkəltɪ:difficulty;d:d,ɪf:iff,ək:ic,əlt:ult,ɪ:y;~~ɪ~ə~ə~ɪ~
dɪfɪkʌltɪz:difficulties;d:d,ɪf:iff,ɪk:ic,ʌlt:ult,ɪz:ies;~~ɪ~ɪ~ʌ~ɪ~
dɪfəɹɛns:difference;d:d,ɪf:iff,əɹ:er,ɛns:ence;~~ɪ~ə~ɛ~
dɪfəɹɛnt:different;d:d,ɪf:iff,əɹ:er,ɛnt:ent;~~ɪ~ə~ɛ~
dʌk:duck;d:d,ʌk:uck;~~ʌ~
dɑktəɹ:doctor;d:d,ɑkt:oct,əɹ:or;~~ɑ~ə~
dɑkjəmɛnt:document;d:d,ɑkj:oc,əm:um,ɛnt:ent;~~ɑ~ə~ɛ~
dɑkjəmɛnəd:documented;d:d,ɑkj:oc,əm:um,ɛn:ent,əd:ed;~~ɑ~ə~ɛ~ə~
dɛkəɹeɪt:decorate;d:d,ɛk:ec,əɹ:or,eɪt:ate;~~ɛ~ə~eɪ~
dɪkʃənɛɹɪ:dictionary;d:d,ɪkʃ:ict,ən:ion,ɛɹ:ar,ɪ:y;~~ɪ~ə~ɛ~ɪ~
dʌl:dull;d:d,ʌl:ull;~~ʌ~
dɪlɡ:dilg;d:d,ɪlɡ:ilg;~~ɪ~
dɛləkɛt:delicate;d:d,ɛl:el,ək:ic,ɛt:ate;~~ɛ~ə~ɛ~
dɑləɹ:dollar;d:d,ɑl:oll,əɹ:ar;~~ɑ~ə~
dɔləɹz:dollar's;d:d,ɔl:oll,əɹz:ar's;~~ɔ~ə~
dɑləɹz:dollars;d:d,ɑl:oll,əɹz:ars;~~ɑ~ə~
dʌn:done;d:d,ʌn:one;~~ʌ~
dɔnt:don't;d:d,ɔnt:on't;~~ɔ~
dɪnəɹ:dinner;d:d,ɪn:inn,əɹ:er;~~ɪ~ə~
dɪp:dip;d:d,ɪp:ip;~~ɪ~
dɛpjutɪz:deputies;d:d,ɛpj:ep,ut:ut,ɪz:ies;~~ɛ~u~ɪ~
dɛpθ:depth;d:d,ɛpθ:epth;~~ɛ~
dɛsk:desk;d:d,ɛsk:esk;~~ɛ~
dɑst:dost;d:d,ɑst:ost;~~ɑ~
dʌst:dust;d:d,ʌst:ust;~~ʌ~
dɪstəns:distance;d:d,ɪst:ist,əns:ance;~~ɪ~ə~
dɪstənt:distant;d:d,ɪst:ist,ənt:ant;~~ɪ~ə~
dɪstɹɪkt:district;d:d,ɪstɹ:istr,ɪkt:ict;~~ɪ~ɪ~
dɛsəməl:decimal;d:d,ɛs:ec,əm:im,əl:al;~~ɛ~ə~ə~
dɪsəplən:discipline;d:d,ɪs:isc,əpl:ipl,ən:ine;~~ɪ~ə~ə~
dɛt:debt;d:d,ɛt:ebt;~~ɛ~
dɑt:dot;d:d,ɑt:ot;~~ɑ~
dɪtʃ:ditch;d:d,ɪtʃ:itch;~~ɪ~
dɔtəɹ:daughter;d:d,ɔt:aught,əɹ:er;~~ɔ~ə~
dʌtəɹ:dutter;d:d,ʌt:utt,əɹ:er;~~ʌ~ə~
dɛvəl:devil;d:d,ɛv:ev,əl:il;~~ɛ~ə~
dɛvɪnɪ:deveney;d:d,ɛv:ev,ɪn:en,ɪ:ey;~~ɛ~ɪ~ɪ~
dʌz:does;d:d,ʌz:oes;~~ʌ~
dʌzn:dozen;d:d,ʌzn:ozen;~~ʌ~
dʌznt:doesn't;d:d,ʌznt:oesn't;~~ʌ~
dɛzəɹt:desert;d:d,ɛz:es,əɹt:ert;~~ɛ~ə~
dɔɹweɪ:doorway;d:d,ɔɹ:oor,w:w,eɪ:ay;~~ɔ~~eɪ~
dɛθ:death;d:d,ɛθ:eath;~~ɛ~
dɪɡ:dig;d:d,ɪɡ:ig;~~ɪ~
dɪʃ:dish;d:d,ɪʃ:ish;~~ɪ~
dɔɡ:dog;d:d,ɔɡ:og;~~ɔ~
dɔɹ:door;d:d,ɔɹ:oor;~~ɔ~
dʌɡ:dug;d:d,ʌɡ:ug;~~ʌ~
dɛə:dare;d:d,ɛ:a,ə:re;~~ɛ~ə~
dɪə:dear;d:d,ɪ:ea,ə:r;~~ɪ~ə~
dɪə:deer;d:d,ɪ:eer;~~ɪ~ə~
dɜɹfəlɪŋəɹ:derflinger;d:d,ɜɹf:erf,əl:l,ɪŋ:ing,əɹ:er;~~ɜ~ə~ɪ~ə~
dɑɹk:dark;d:d,ɑɹk:ark;~~ɑ~
dɑɹkn:darken;d:d,ɑɹkn:arken;~~ɑ~
dɑŋkɪ:donkey;d:d,ɑŋk:onk,ɪ:ey;~~ɑ~ɪ~
dɜɹt:dirt;d:d,ɜɹt:irt;~~ɜ~
dɜɹtɪ:dirty;d:d,ɜɹt:irt,ɪ:y;~~ɜ~ɪ~
dɑɹtəɹ:darter;d:d,ɑɹt:art,əɹ:er;~~ɑ~ə~
dɛʃɔ:deshaw;d:d,ɛʃ:esh,ɔ:aw;~~ɛ~ɔ~
dɛɹɪbɛɹɪ:derryberry;d:d,ɛɹ:err,ɪb:yb,ɛɹ:err,ɪ:y;~~ɛ~ɪ~ɛ~ɪ~
dɔɹɪs:doris;d:d,ɔɹ:or,ɪs:is;~~ɔ~ɪ~
dɛɹɪŋ:daring;d:d,ɛɹ:ar,ɪŋ:ing;~~ɛ~ɪ~
dʊɹɪŋ:during;d:d,ʊɹ:ur,ɪŋ:ing;~~ʊ~ɪ~
dɛkləɹeɪʃən:declaration;d:d,ɛkl:ecl,əɹ:ar,eɪʃ:at,ən:ion;~~ɛ~ə~eɪ~ə~
dɛkəɹeɪʃən:decoration;d:d,ɛk:ec,əɹ:or,eɪʃ:at,ən:ion;~~ɛ~ə~eɪ~ə~
dɪskəntɛntɪdlɪ:discontentedly;d:d,ɪs:is,k:c,ənt:ont,ɛnt:ent,ɪdl:edl,ɪ:y;~~ɪ~~ə~ɛ~ɪ~ɪ~
dɪskəntɪnjueɪʃən:discontinuation;d:d,ɪs:is,k:c,ənt:ont,ɪnj:in,u:u,eɪʃ:at,ən:ion;~~ɪ~~ə~ɪ~u~eɪ~ə~
dɪsədvæntɪdʒd:disadvantaged;d:d,ɪs:is,:,ədv:adv,ænt:ant,ɪdʒd:aged;~~ɪ~~ə~æ~ɪ~
dɪsɹɪspɛkt:disrespect;d:d,ɪs:is,ɹ:r,ɪsp:esp,ɛkt:ect;~~ɪ~~ɪ~ɛ~
dɪsɹɪɡɑɹd:disregard;d:d,ɪs:is,ɹ:r,ɪɡ:eg,ɑɹd:ard;~~ɪ~~ɪ~ɑ~
dɪsætɪsfækʃən:dissatisfaction;d:d,ɪs:iss,æt:at,ɪsf:isf,ækʃ:act,ən:ion;~~ɪ~æ~ɪ~æ~ə~
dɪsaɪd:decide;d:d,ɪs:ec,aɪd:ide;~~ɪ~aɪ~
dɪsaɪdɪd:decided;d:d,ɪs:ec,aɪd:id,ɪd:ed;~~ɪ~aɪ~ɪ~
dɪskʌʃən:discussion;d:d,ɪsk:isc,ʌʃ:uss,ən:ion;~~ɪ~ʌ~ə~
dɪsɪplɪnɛɹɪənz:disciplinarians;d:d,ɪs:isc,ɪpl:ipl,ɪn:in,ɛɹ:ar,ɪ:i,ənz:ans;~~ɪ~ɪ~ɪ~ɛ~ɪ~ə~
dɪsəpɪə:disappear;d:d,ɪs:is,əp:app,ɪ:ea,ə:r;~~ɪ~ə~ɪ~ə~
dɪsəpɪəɹəns:disappearance;d:d,ɪs:is,əp:app,ɪ:e,əɹ:ar,əns:ance;~~ɪ~ə~ɪ~ə~ə~
dɪsəpɹuv:disapprove;d:d,ɪs:is,əpɹ:appr,uv:ove;~~ɪ~ə~u~
dɪsəpɔɪnt:disappoint;d:d,ɪs:is,əp:app,ɔɪnt:oint;~~ɪ~ə~ɔɪ~
dɪsəpɔɪntɪd:disappointed;d:d,ɪs:is,əp:app,ɔɪnt:oint,ɪd:ed;~~ɪ~ə~ɔɪ~ɪ~
dɪsəsoʊʃɪəɪtəd:disassociated;d:d,ɪs:is,əs:ass,oʊʃ:oc,ɪ:i,əɪt:at,əd:ed;~~ɪ~ə~oʊ~ɪ~əɪ~ə~
dɛzɪɡniz:designees;d:d,ɛz:es,ɪɡn:ign,iz:ees;~~ɛ~ɪ~i~
dɑɹdʒilɪŋ:darjeeling;d:d,ɑɹ:ar,dʒ:j,il:eel,ɪŋ:ing;~~ɑ~~i~ɪ~
dʒækɪ:jacky;dʒ:j,æk:ack,ɪ:y;~~æ~ɪ~
dʒænjuɛɹɪ:january;dʒ:j,ænj:an,u:u,ɛɹ:ar,ɪ:y;~~æ~u~ɛ~ɪ~
dɹæɡ:drag;dɹ:dr,æɡ:ag;~~æ~
dɹaɪ:dry;dɹ:dr,aɪ:y;~~aɪ~
dɹaɪlɪ:dryly;dɹ:dr,aɪl:yl,ɪ:y;~~aɪ~ɪ~
dɹaʊn:drown;dɹ:dr,aʊn:own;~~aʊ~
dɹaɪv:drive;dɹ:dr,aɪv:ive;~~aɪ~
dɹaɪvz:drive's;dɹ:dr,aɪvz:ive's;~~aɪ~
dɹaɪvz:drives;dɹ:dr,aɪvz:ives;~~aɪ~
dʒeɪmz:james;dʒ:j,eɪmz:ames;~~eɪ~
dʒeɪmɪsən:jamison;dʒ:j,eɪm:am,ɪs:is,ən:on;~~eɪ~ɪ~ə~
dɹim:dream;dɹ:dr,im:eam;~~i~
dʒinz:gene's;dʒ:g,inz:ene's;~~i~
dʒinz:genes;dʒ:g,inz:enes;~~i~
dʒizʌs:jesus;dʒ:j,iz:es,ʌs:us;~~i~ʌ~
dʒiəmɑti:giamatti;dʒ:g,i:i,əm:am,ɑt:att,i:i;~~i~ə~ɑ~i~
dʒiəʊpəlɪtɪkəlɪ:geopolitically;dʒ:g,i:e,əʊp:op,əl:ol,ɪt:it,ɪk:ic,əl:all,ɪ:y;~~i~əʊ~ə~ɪ~ɪ~ə~ɪ~
